qda_file_url,last_download_timestamp,local_directory,local_qda_filename,repository,license,uploader_name,uploader_email
https://zenodo.org/api/records/14535515/files/Polish debates on higher education party manifestos.qdpx/content,2026-03-06T18:57:55.917689+00:00,archive/zenodo/14535515_Polish_debates_on_higher_education_in_the_Sejm_and_party_manifestos,Polish debates on higher education party manifestos.qdpx,zenodo,odc-by,,
https://zenodo.org/api/records/14535515/files/Polish debates on higher education party manifestos.mx20/content,2026-03-06T18:57:55.917689+00:00,archive/zenodo/14535515_Polish_debates_on_higher_education_in_the_Sejm_and_party_manifestos,Polish debates on higher education party manifestos.mx20,zenodo,odc-by,,
https://zenodo.org/api/records/16082705/files/EFL_ILP_ScopingReview_CodedData_20250718.qdpx/content,2026-03-06T18:58:09.961690+00:00,archive/zenodo/16082705_Supporting_Data_for_Scoping_Review_on_Interlanguage_Pragmatics_in_EFL_Contexts,EFL_ILP_ScopingReview_CodedData_20250718.qdpx,zenodo,cc-by-4.0,,
https://zenodo.org/api/records/11445692/files/voluntariado_exemplo_MAXQDA_V4.mx24/content,2026-03-06T18:58:21.525175+00:00,archive/zenodo/11445692_MAXQDA_Ficheiro_de_Exemplo,voluntariado_exemplo_MAXQDA_V4.mx24,zenodo,cc-by-4.0,,
https://zenodo.org/api/records/17384976/files/FF1_B_QIA_in_MAXQDA_public.mx24/content,2026-03-06T18:58:23.501447+00:00,archive/zenodo/17384976_Qualitative_Data_of_the_EduChallenge_Project,FF1_B_QIA_in_MAXQDA_public.mx24,zenodo,cc-by-4.0,,
https://zenodo.org/api/records/11232842/files/LLM_lowcode.mx20/content,2026-03-06T18:58:28.267438+00:00,archive/zenodo/11232842_Dataset_related_to_An_Empirical_Study_on_Low_Code_Programming_using_Traditional,LLM_lowcode.mx20,zenodo,cc-by-4.0,,
https://zenodo.org/api/records/11232842/files/Traditional_lowcode.mx20/content,2026-03-06T18:58:28.267438+00:00,archive/zenodo/11232842_Dataset_related_to_An_Empirical_Study_on_Low_Code_Programming_using_Traditional,Traditional_lowcode.mx20,zenodo,cc-by-4.0,,
